,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
186,天津泰达,TJTED,甲,11,Tianjin TEDA,28,47,3,19,26,297.5,15,天津泰达,12,1998
187,广州太阳神,GZAPL,超,8,Guangzhou Apollo,44,27,15,-17,28,230,16,广州太阳神,5,1998
188,江苏金陵石化加佳,JSJGG,甲,2,Jiangsu Jlspc Gige,29,27,13,-2,26,226.59,17,江苏一品梅,11,1998
189,广东宏远,GDHY,甲,7,Guangdong Hongyuan,37,36,10,-1,26,222.27,18,广东宏远,9,1998
190,重庆（重烟）红岩,CQHY,甲,5,Chongqing Hongyan,32,35,8,3,23,219.09,19,重庆红岩,10,1998
191,陕西国力,SNNP,甲,9,Shannxi National Power,38,42,10,4,26,198.64,20,西北航空国力,7,1998
192,厦门FC,XMFC,甲,10,Xiamen FC,27,21,7,-6,24,195.45,21,厦门远华,7,1998
193,上海浦东新区FA,SHPD,甲,6,Shanghai Pudong FA,29,22,10,-7,24,187.95,22,上海浦东新区FA,8,1998
194,云南红塔,YNHT,甲,5,Yunnan Hongta,36,29,11,-7,24,183.64,23,云南红塔,8,1998
195,成都FC,CDFC,甲,9,Chengdu FC,36,22,9,-14,24,167.05,24,成都五牛,6,1998
196,河南建业,HAJY,甲,11,Henan Construction,34,24,8,-10,24,162.73,25,河南建业,5,1998
197,上海汇丰,SHSBC,甲,7,Shanghai HSBC,51,22,14,-29,24,109.55,26,上海航星,3,1998
198,大连毅腾连铁,DLYT,乙,3,Dalian Yiteng,11,13,3,2,14,104.33,27,大连铁路毅腾,8,1998
199,广州白云山,GZBYS,乙,3,Guangzhou Baiyunshan,5,17,1,12,10,71.544,28,广州白云山,6,1998
200,辽宁青年,LNY.,乙,5,Liaoning Youth,10,10,4,0,12,65.083,29,辽宁创业,3,1998
201,北京宽利,BJKL,乙,2,Beijing Kuanli,16,21,4,5,11,61.083,30,北京宽利,5,1998
202,哈尔滨兰格,HRBLG,乙,3,Harbin Lange,8,6,2,-2,8,52,31,哈尔滨兰格,3,1998
203,湖北多人多,HBDRD,乙,1,Hubei Duorenduo,9,7,3,-2,8,49.706,32,湖北多人多,4,1998
