,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
130,22,Colombia,哥伦比亚,出租,15万,,Deportivo Pasto,50.0,上海绿地申花,10280,右中场,艾斯纳·罗博,,-,2011-07-01,60万,600000.0,11
131,29,Australia,澳大利亚,,,43.0,北京人和,1451.0,成都天诚,1097,中后卫,乔纳斯·萨利,0,-,2011-07-01,0,0.0,11
132,19,China,中国,出租,,50.0,上海绿地申花,,Suduva,1326,左边锋,顾斌,,-,2011-07-01,,,11
133,22,China,中国,,,52.0,大连一方,214.0,石家庄永昌,33380,,侯哲,,-,2011-07-01,,,11
134,22,China,中国,出租,,50.0,上海绿地申花,1250.0,深圳FC,1043,中锋,董学升,,-,2011-07-01,,,11
135,24,China,中国,出租,,42.0,北京国安,54.0,上海申鑫,1047,中后卫,郎征,,-,2011-07-01,,,11
136,24,China,中国,出租,,42.0,北京国安,1391.0,大连实德,1510,右边锋,阎相闯,,-,2011-07-01,,,11
137,23,Argentina,阿根廷,,,46.0,天津泰达,,Unknown,6173,后腰,拉波里纳,,-,2011-07-01,,,11
138,19,China,中国,回归,10万,,Laochenggen,43.0,北京人和,1105,,沈田峰,,-,2013-06-30,,,12
139,28,Ghana,加纳,,30万,45.0,上海上港,,Without Club,16352,中锋,克里斯·迪克森,-30万,-100,2013-05-07,,,12
140,29,Zambia,赞比亚,,40万,48.0,河南建业,,Without Club,12991,中场,伊萨克·查恩萨,-40万,-100,2013-04-26,,,12
141,21,China,中国,,,626.0,天津权健,,Jönköping,6684,左中场,朱海威,0,-,2013-03-31,0,0.0,12
142,25,Paraguay,巴拉圭,,100万,49.0,山东鲁能,856.0,甲府风林,20003,中锋,奥蒂戈萨,-100万,-100,2013-03-22,0,0.0,12
143,24,Mozambique,莫桑比克,,100万,49.0,山东鲁能,27.0,莱万特,693,后腰,西芒,-100万,-100,2013-03-21,0,0.0,12
144,22,China,中国,出租,5万,41.0,广州恒大,1255.0,梅州客家,33471,左边锋,高志林,,-,2013-03-01,,,12
145,24,China,中国,出租,3万,43.0,北京人和,,Laochenggen,1106,影子前锋,张成祥,,-,2013-03-01,,,12
146,24,China,中国,,25万,1391.0,大连实德,52.0,大连一方,1031,左后卫,李学鹏,-25万,-100,2013-02-28,,,12
147,20,China,中国,,10万,1391.0,大连实德,52.0,大连一方,1364,门将,张振强,-10万,-100,2013-02-28,,,12
148,20,China,中国,,10万,1391.0,大连实德,52.0,大连一方,1396,中锋,赵学斌,-10万,-100,2013-02-28,,,12
149,25,China,中国,,5万,44.0,长春亚泰,47.0,辽宁宏运,1226,,曲晓辉,-5万,-100,2013-02-28,,,12
150,23,China,中国,,5万,1391.0,大连实德,52.0,大连一方,1369,中后卫,杨博宇,-5万,-100,2013-02-28,,,12
151,23,China,中国,,5万,1391.0,大连实德,626.0,天津权健,6814,中后卫,姜积弘,-5万,-100,2013-02-28,0,0.0,12
152,25,China,中国,,3万,1391.0,大连实德,52.0,大连一方,1363,门将,张翀,-3万,-100,2013-02-28,,,12
153,23,China,中国,,3万,52.0,大连一方,1250.0,深圳FC,33343,左后卫,吕政,-3万,-100,2013-02-28,,,12
154,22,China,中国,,3万,50.0,上海绿地申花,,Warta Poznan,33348,后腰,费煜,-3万,-100,2013-02-28,0,0.0,12
155,19,China,中国,出租,3万,52.0,大连一方,,SY Zhongze,1395,右边锋,南云齐,,-,2013-02-28,,,12
156,21,China,中国,,20万,45.0,上海上港,50.0,上海绿地申花,1320,左后卫,柏佳骏,40万,200,2013-02-27,60万,600000.0,12
157,25,China,中国,,5万,1391.0,大连实德,49.0,山东鲁能,1279,右后卫,赵明剑,175万,3500,2013-02-27,180万,1800000.0,12
158,23,China,中国,,3万,45.0,上海上港,50.0,上海绿地申花,1311,右中场,战怡麟,16万,620,2013-02-27,18万,180000.0,12
159,24,China,中国,,,56.0,浙江毅腾,44.0,长春亚泰,1111,右中场,李晓挺,28万,-,2013-02-27,28万,280000.0,12
160,25,China,中国,,25万,47.0,辽宁宏运,49.0,山东鲁能,1135,中锋,杨旭,220万,880,2013-02-26,245万,2450000.0,12
161,24,China,中国,出租,5万,42.0,北京国安,48.0,河南建业,1245,中场,祝一帆,,-,2013-02-25,,,12
162,31,China,中国,,5万,52.0,大连一方,1249.0,北京北控,42429,前腰,胡兆军,-5万,-100,2013-02-25,,,12
163,23,China,中国,出租,3万,49.0,山东鲁能,55.0,杭州绿城,1330,中锋,高迪,,-,2013-02-25,12万,120000.0,12
164,20,China,中国,,,,Goyang KB,44.0,长春亚泰,44528,右边锋,白子健,0,-,2013-02-24,0,0.0,12
165,26,China,中国,出租,3万,43.0,北京人和,1257.0,青岛黄海,33503,后腰,刘清,,-,2013-02-23,,,12
166,29,China,中国,,3万,51.0,广州富力,215.0,重庆力帆,6738,中后卫,隋东陆,-3万,-100,2013-02-23,,,12
167,25,China,中国,,,,Chongqing F.C.,44.0,长春亚泰,1125,左后卫,闫世鹏,,-,2013-02-23,,,12
168,20,China,中国,,25万,,SY Zhongze,49.0,山东鲁能,1293,中场,金敬道,73万,290,2013-02-22,98万,975000.0,12
169,23,Senegal,塞内加尔,,10万,42.0,北京国安,,Without Club,3697,中后卫,弗朗索瓦,-10万,-100,2013-02-21,,,12
170,27,China,中国,出租,10万,49.0,山东鲁能,1252.0,武汉卓尔,1278,后腰,李微,,-,2013-02-19,,,12
171,28,Colombia,哥伦比亚,,,,CD La Equidad,46.0,天津泰达,1181,中锋,卡梅罗·瓦伦西亚,,-,2013-02-18,,,12
172,26,China,中国,,,216.0,延边富德,627.0,贵州恒丰,6755,右后卫,姜洪权,,-,2013-02-17,,,12
173,22,China,中国,出租,10万,46.0,天津泰达,,SY Zhongze,33483,中后卫,毛开宇,,-,2013-02-16,,,12
174,31,China,中国,,10万,49.0,山东鲁能,1470.0,青岛中能,20307,中后卫,矫喆,-10万,-100,2013-02-16,0,0.0,12
175,20,China,中国,,5万,54.0,上海申鑫,48.0,河南建业,1247,左后卫,李磊,55万,1100,2013-02-16,60万,600000.0,12
176,24,China,中国,,,1254.0,新疆雪豹,213.0,河北华夏幸福,6685,前腰,汪泉,,-,2013-02-15,,,12
177,30,Argentina,阿根廷,,50万,,All Boys,50.0,上海绿地申花,8547,前腰,托兰佐,-50万,-100,2013-02-12,,,12
